年月,縣市,用電性質,售電量(度),用電佔比(%)
11210,金門縣,工業,3689473,12.7
11210,連江縣,住宅,2886085,38.43
11210,連江縣,服務業,3845668,51.21
11210,連江縣,農林漁牧,9624,0.13
11210,連江縣,工業,768630,10.23
11209,新北市,住宅,1034066376,45.36
11209,新北市,服務業,706132135,30.97
11209,新北市,農林漁牧,2697147,0.12
11209,新北市,工業,536926708,23.55
11209,台北市,住宅,650967494,38.8
11209,台北市,服務業,956580692,57.02
11209,台北市,農林漁牧,311733,0.02
11209,台北市,工業,69890225,4.17
11209,桃園市,住宅,533701038,20.53
11209,桃園市,服務業,467748734,17.99
11209,桃園市,農林漁牧,5799155,0.22
11209,桃園市,工業,1592762493,61.26
11209,台中市,住宅,714727766,22.68
11209,台中市,服務業,608355350,19.31
11209,台中市,農林漁牧,15625267,0.5
11209,台中市,工業,1812179790,57.51
11209,台南市,住宅,448531094,14.84
11209,台南市,服務業,308072548,10.19
11209,台南市,農林漁牧,45086800,1.49
11209,台南市,工業,2220501268,73.47
11209,高雄市,住宅,709832158,25.97
11209,高雄市,服務業,527153482,19.29
11209,高雄市,農林漁牧,23150076,0.85
11209,高雄市,工業,1472951797,53.89
11209,宜蘭縣,住宅,109038725,31.55
11209,宜蘭縣,服務業,92390878,26.73
11209,宜蘭縣,農林漁牧,7875251,2.28
11209,宜蘭縣,工業,136351069,39.45
11209,新竹縣,住宅,151321536,14.04
11209,新竹縣,服務業,111334571,10.33
11209,新竹縣,農林漁牧,2537042,0.24
11209,新竹縣,工業,812602546,75.39
11209,苗栗縣,住宅,138456587,19.7
11209,苗栗縣,服務業,75620404,10.76
11209,苗栗縣,農林漁牧,3408077,0.48
11209,苗栗縣,工業,485304169,69.05
11209,彰化縣,住宅,275193150,26.34
11209,彰化縣,服務業,222074906,21.25
11209,彰化縣,農林漁牧,54352242,5.2
11209,彰化縣,工業,49310595,47.2
11209,南投縣,住宅,81873834,32.2
11209,南投縣,服務業,64162766,25.23
11209,南投縣,農林漁牧,10658880,4.19
11209,南投縣,工業,97574206,38.37
